;d_pol;ct_90_rl;ct_90_rm;ct_90_rc;ct_45;cur_90_1_1-2;cur_90_1;cur_45;ent_norm;ent_borda;rg_ga_a;rg_gb_a;rg_an_a;te_main;te_deriv;te_div;val_pec;sai_can;valv_ret_leve;valv_ret_pesado
13;1/2;0,3;0,4;0,5;0,2;0,2;0,3;0,2;0,2;0,4;0,1;4,9;2,6;0,3;1;1;3,6;0,4;1,1;1,6
19;3/4;0,4;0,6;0,7;0,3;0,3;0,4;0,2;0,3;0,5;0,1;6,7;3,6;0,4;1,4;1,4;5,6;0,5;1,6;2,4
25;1;0,5;0,7;0,8;0,4;0,3;0,5;0,2;0,3;0,7;0,2;8,2;4,6;0,5;1,7;1,7;7,3;0,7;2,1;3,2
32;1,1/4;0,7;0,9;1,1;0,5;0,4;0,6;0,3;0,4;0,9;0,2;11,3;5,6;0,7;2,3;2,3;10;0,9;2,7;4
38;1,1/2;0,9;1,1;1,3;0,6;0,5;0,7;0,3;0,5;1;0,3;13,4;6,7;0,9;2,8;2,8;11,6;1;3,2;4,8
50;2;1,1;1,4;1,7;0,8;0,6;0,9;0,4;0,7;1,5;0,4;17,4;8,5;1,1;3,5;3,5;14;1,5;4,2;6,4
63;2,1/2;1,3;1,7;2;0,9;0,8;1,0;0,5;0,9;1,9;0,4;21,0;10;1,3;4,3;4,3;17;1,9;5,2;8,1
75;3;1,6;2,1;2,5;1,2;1;1,3;0,6;1,1;2,2;0,5;26,0;13;1,6;5,2;5,2;20;2,2;6,3;9,7
100;4;2,1;2,8;3,4;1,3;1,3;1,6;0,7;1,6;3,2;0,7;34;17;2,1;6,7;6,7;23;3,2;6,4;12,9
125;5;2,7;3,7;4,2;1,9;1,6;2,1;0,9;2;4;0,9;43;21;2,7;8,4;8,4;30;4;10,4;16,1
150;6;3,4;4,3;4,9;2,3;1,9;2,5;1,1;2,5;5;1,1;51;26;3,4;10;10;39;5;12,5;19,3
200;8;4,3;5,5;6,4;3;2,4;3,3;1,5;3,5;6;1,4;67;34;4,3;13;13;52;6;16;25
250;10;5,5;6,7;7,9;3,8;3;4,1;1,8;4,5;7,5;1,7;85;43;5,5;16;16;65;7,5;20;32
300;12;6,1;7,9;9,5;4,6;3,6;4,8;2,2;5,5;9;2,1;102;51;6,1;19;19;78;9;24;38
350;14;7,3;9,5;10,5;5,3;4,4;5,4;2,5;6,2;11;2,4;120;60;7,3;22;22;90;11;28;45
